User,Rank,Game,Score
Achirimotedo,13,Splendor Duel,8
Achirimotedo,14,Turing Machine,7
Achirimotedo,15,Heat: Pedal to the Metal,6
Achirimotedo,16,Cascadia,5
Achirimotedo,17,Great Western Trail,4
Achirimotedo,18,Pax Pamir,3
Achirimotedo,19,Undaunted: Normandy,2
Achirimotedo,20,Atlantic Chase,1
actiondan87,1,Imperium: Classics,20
actiondan87,2,Anachrony,19
actiondan87,3,Perseverance: Castaway Chronicles,18
actiondan87,4,Hadrian's Wall,17
actiondan87,5,Middara,16
actiondan87,6,Glen More,15
actiondan87,7,Viscounts of the West Kingdom,14
actiondan87,8,Wayfarers of the south tigris,13
actiondan87,9,Cerebria: The Inside World,12
actiondan87,10,Barrage,11
actiondan87,11,Architects of the West Kingdom,10
actiondan87,12,Excavation Earth,9
actiondan87,13,Fields of Arle,8
actiondan87,14,Paladins of the West Kingdom,7
actiondan87,15,Agricola,6
actiondan87,16,Circadians: First Light,5
actiondan87,17,Kanban EV,4
actiondan87,18,Gloom of Kilforth: A Fantasy Quest Game,3
actiondan87,19,Freshwater Fly,2
actiondan87,20,Cascadia,1
Adayu,1,Navajo Wars,20
Adayu,2,Friday,19
Adayu,3,Shadowrun: Crossfire,18
Adayu,4,Sylvion,17
Adayu,5,One Deck Dungeon,16
Adayu,6,Raging Bulls,15
Adayu,7,Elevenses for One,14
Adayu,8,Coffee Roaster,13
Adayu,9,Buffy the Vampire Slayer: The Board Game,12
Adayu,10,Hero of Weehawken,11
Adayu,11,Snooker Solitaire,10
Adayu,12,Stellarion,9
Adayu,13,Castellion,8
Adayu,14,Onirim,7
Adayu,15,Ascension: Apprentice Edition,6
Adayu,16,Utopia Engine,5
Adayu,17,Bottom of the 9th,4
Adayu,18,Supermarché,3
Adayu,19,Adaman,2
Adayu,20,Fool's Journey,1
Adciro,1,Kinfire Chronicles: Night's Fall,20
Adciro,2,Terraforming Mars: Ares Expedition,19
Adciro,3,Sword & Sorcery,18
Adciro,4,Hoplomachus: Victorum,17
Adciro,5,Too Many Bones,16
Adciro,6,Oathsworn: Into the Deepwood,15
Adciro,7,Adventure Tactics: Domianne's Tower,14
Adciro,8,Escape from Stalingrad Z,13
Adciro,9,Planet Apocalypse,12
Adciro,10,Dorfromantik: The Board Game,11
Adciro,11,Tales from the Red Dragon Inn,10
Adciro,12,Zerywia,9
adi_venturer,1,Spirit Island,20
adi_venturer,2,Sleeping Gods,19
adi_venturer,3,Search for Planet X,18
adi_venturer,4,Sprawlopolis,17
adi_venturer,5,Ark Nova,16
adi_venturer,6,Cascadia,15
adi_venturer,7,Robinson Crusoe: Adventures on the Cursed Island,14
adi_venturer,8,For Northwood! A Solo Trick-Taking Game,13
aeben3168,1,Underwater Cities,20
aeben3168,2,Spirit Island,19
aeben3168,3,Wayfarers of the south tigris,18
aeben3168,4,Nusfjord,17
aeben3168,5,Guild of Merchant Explorers,16
aeben3168,6,At the Gates of Loyang,15
aeben3168,7,A Feast for Odin,14
aeben3168,8,Terraforming Mars,13
aeben3168,9,SpaceCorp,12
aeben3168,10,Circadians: First Light,11
aeben3168,11,Obsession,10
aeben3168,12,51st State,9
aeben3168,13,Glass Road,8
aeben3168,14,Oranienburger Kanal,7
aeben3168,15,Hallertau,6
aeben3168,16,It's a Wonderful World,5
aeben3168,17,Meadow,4
aeben3168,18,Renegade,3
aeben3168,19,Jump Drive,2
aeben3168,20,Hadrian's Wall,1
afjb,1,Aeon's End,20
afjb,2,Marvel Champions: The Card Game,19
afjb,3,Ark Nova,18
afjb,4,HEXplore It,17
afjb,5,Terraforming Mars,16
afjb,6,Scythe,15
afjb,7,Strat-O-Matic Baseball,14
afjb,8,Strat-O-Matic Pro Basketball,13
afjb,9,Warfighter: The Tactical Special Forces Card Game,12
afjb,10,Elder Sign,11
afjb,11,Mage Knight Board Game,10
afjb,12,Arkham Horror: The Card Game,9
afjb,13,Lord of the Rings: The Card Game,8
afjb,14,Red White & Blue Racin' Stock Car Action Game,7
afjb,15,Soccer Blast,6
afjb,16,Strat-O-Matic Pro Football,5
afjb,17,Title Bout,4
afjb,18,Networks,3
afjb,19,Four Against Darkness,2
afjb,20,4th Street Pro Football,1
Afram64,1,Spirit Island,20
Afram64,2,Voidfall,19
Afram64,3,Marvel Champions: The Card Game,18
Afram64,4,Too Many Bones,17
Afram64,5,Expeditions,16
Afram64,6,Imperium: Classics,15
Afram64,7,Tapestry,14
Afram64,8,Uprising Curse of the Last Emperor,13
Afram64,9,ISS Vanguard,12
Afram64,10,Final Girl,11
Afram64,11,Isofarian Guard,10
Afram64,12,Teotihuacan: City of Gods,9
Afram64,13,Architects of the West Kingdom,8
Afram64,14,Dune: Imperium,7
Afram64,15,Sentinels of the Multiverse,6
Afram64,16,Hoplomachus: Victorum,5
Afram64,17,Dawn of the Zeds,4
Afram64,18,Scythe,3
Afram64,19,Paladins of the West Kingdom,2
Afram64,20,Anachrony,1
agent_ice9,1,Race for the Galaxy,20
agent_ice9,2,Star Trek: Frontiers,19
agent_ice9,3,Pax Pamir,18
agent_ice9,4,Paper Tales,17
agent_ice9,5,Ark Nova,16
agent_ice9,6,Gaia Project,15
agent_ice9,7,Imperium: Classics,14
agent_ice9,8,Robinson Crusoe: Adventures on the Cursed Island,13
agent_ice9,9,It's a Wonderful World,12
agent_ice9,10,Terraforming Mars: Ares Expedition,11
agent_ice9,11,Black Angel,10
agent_ice9,12,Obsession,9
agent_ice9,13,Arkham Horror: The Card Game,8
agent_ice9,14,Under Falling Skies,7
agent_ice9,15,Cartographers: A Roll Player Tale,6
agent_ice9,16,Sub Terra,5
agent_ice9,17,Dune: Imperium,4
agent_ice9,18,7 Wonders: Duel,3
agent_ice9,19,Underwater Cities,2
agent_ice9,20,Tiny Epic Galaxies,1
agentkc,1,Wingspan,20
agentkc,2,Between Two Castles of Mad King Ludwig,19
agentkc,3,Grove: A 9 card solitaire game,18
agentkc,4,Michael Strogoff,17
agentkc,5,Valletta,16
agentkc,6,Dune: Imperium,15
agentkc,7,Orchard: A 9 card solitaire game,14
agentkc,8,Sprawlopolis,13
agentkc,9,Great Western Trail,12
agentkc,10,Ashes Reborn: Rise of the Phoenixborn,11
agentkc,11,Terraforming Mars,10
agentkc,12,Suburbia,9
agentkc,13,Nytelyfe Solitaire,8
agentkc,14,Tinyforming Mars,7
agentkc,15,Keyforge,6
Agrypa81,1,Spirit Island,20
Agrypa81,2,Gaia Project,19
Agrypa81,3,Pax Pamir,18
Agrypa81,4,Arkham Horror: The Card Game,17
Agrypa81,5,Mage Knight Board Game,16
Agrypa81,6,John Company,15
Agrypa81,7,D-Day at Omaha Beach,14
Agrypa81,8,Aerion,13
Agrypa81,9,Atlantic Chase,12
Agrypa81,10,Cascadia,11
Agrypa81,11,Robinson Crusoe: Adventures on the Cursed Island,10
Agrypa81,12,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,9
Agrypa81,13,SpaceCorp,8
Agrypa81,14,Hostage Negotiator,7
Agrypa81,15,RAF,6
Agrypa81,16,Maquis,5
Agrypa81,17,Cruel Necessity,4
Agrypa81,18,"Labyrinth: The War on Terror, 2001-?",3
Agrypa81,19,Friday,2
Agrypa81,20,Everdell,1
ainverso,1,Lord of the Rings: The Card Game,20
ainverso,2,Marvel Champions: The Card Game,19
ainverso,3,Gloomhaven,18
ainverso,4,Aeon's End,17
ainverso,5,Spirit Island,16
ainverso,6,Tainted Grail: The Fall of Avalon,15
ainverso,7,Eldritch Horror,14
ainverso,8,Middara,13
ainverso,9,Mage Knight Board Game,12
ainverso,10,Four Against Darkness,11
ainverso,11,Descent: Journeys in the Dark (Second Edition),10
ainverso,12,Viticulture,9
ainverso,13,Altar Quest,8
ainverso,14,Robinson Crusoe: Adventures on the Cursed Island,7
ainverso,15,Shadowrun: Crossfire,6
ainverso,16,Legendary: A Marvel Deck Building Game,5
ainverso,17,Sword & Sorcery,4
ainverso,18,Dungeons & Dragons: Castle Ravenloft Board Game,3
ainverso,19,Marvel United,2
ainverso,20,Lord of the Rings: Journeys in Middle Earth,1
airjudden,1,First Jihad: The Rise of Islam 632-750,20
airjudden,2,Dawn of the Zeds,19
airjudden,3,Nemo's War,18
airjudden,4,Mission: Early Christianity from the Crucifixion to the Crusades,17
airjudden,5,Kaiserkrieg!,16
airjudden,6,Gorbachev: The Fall of Communism,15
airjudden,7,A.D. 30,14
airjudden,8,We Must tell the Emperor,13
airjudden,9,Stalingrad Inferno on the Volga,12
airjudden,10,Nubia: Egypt's Black Heirs,11
airjudden,11,World War Zed: USA,10
airjudden,12,A Spoiled Victory: Dunkirk 1940,9
airjudden,13,Jeff Davis: The Confederacy at War,8
airjudden,14,Zulus on the Ramparts!,7
airjudden,15,Ottoman Sunset,6
airjudden,16,Mound Builders,5
airjudden,17,White Tribe: Rhodesia's War 1966-1980,4
airjudden,18,First Team: Vietnam,3
airjudden,19,Invaders from Dimension X!,2
airjudden,20,Attack of the 50 Foot Colossi,1
airzonk1,1,MetroX,20
airzonk1,2,Pocket Landship,19
airzonk1,3,Ascension Tactics: Miniatures Deckbuilding Game,18
airzonk1,4,Colossus,17
airzonk1,5,DC Comics Deck-Building Game,16
airzonk1,6,Tiny Epic Galaxies,15
airzonk1,7,Squire for Hire,14
airzonk1,8,Bandada,13
airzonk1,9,Maeshowe: an Orkney Saga,12
airzonk1,10,Tiny Ninjas Heroes,11
airzonk1,11,Shardhunters,10
airzonk1,12,Desolate,9
airzonk1,13,Brambles: A Solo Card Game,8
airzonk1,14,Dice Conquest,7
airzonk1,15,A Gentle Rain,6
airzonk1,16,Hens,5
airzonk1,17,D-Day Dice,4
airzonk1,18,Way of the Samurai,3
airzonk1,19,D-Day Solitaire,2
airzonk1,20,Batman: The Animated Series,1
Aistis,1,Too Many Bones,20
Aistis,2,Aeon's End,19
Aistis,3,Shadowrun: Crossfire,18
Aistis,4,HEXplore It,17
Aistis,5,Quest for the Lost Pixel,16
Aistis,6,Terraforming Mars,15
Aistis,7,Obsession,14
Aistis,8,League of Dungeoneers,13
Aistis,9,It's a Wonderful World,12
Aistis,10,Vagrantsong,11
Aistis,11,Heroes of Tenefyr,10
Aistis,12,Dungeon Alliance,9
Aistis,13,Dungeon Universalis,8
Aistis,14,Sleeping Gods,7
Aistis,15,Cthulhu: Death May Die,6
Aistis,16,Aeon Trespass: Odyssey,5
Aistis,17,Legends Untold,4
Aistis,18,Shadowrift,3
Aistis,19,Lands of Galzyr,2
Aistis,20,ISS Vanguard,1
ajant,1,Lost Ruins of Arnak,20
ajant,2,Aquatica,19
ajant,3,Anachrony,18
ajant,4,Underwater Cities,17
ajant,5,Oak,16
ajant,6,Orleans,15
ajant,7,Everdell,14
ajant,8,Evenfall,13
ajant,9,Discordia,12
ajant,10,Call to Adventure,11
ajant,11,Dwellings of Eldervale,10
ajant,12,Vindication,9
ajant,13,Set A Watch,8
ajant,14,Cascadia,7
ajant,15,Earth,6
ajant,16,It's a Wonderful World,5
ajant,17,Seastead,4
ajant,18,Sagrada,3
ajant,19,Crown of Emara,2
ajant,20,Flamecraft,1
akapastorguy,1,Nemo's War,20
akapastorguy,2,Xia: Legends of a Drift System,19
akapastorguy,3,Imperium: Classics,18
akapastorguy,4,Undaunted: Normandy,17
akapastorguy,5,Ark Nova,16
akapastorguy,6,Dune: Imperium,15
akapastorguy,7,Batman: The Dark Knight Returns Board Game,14
akapastorguy,8,Dungeon Alliance,13
akapastorguy,9,"Mr. President: The American Presidency, 2001-2020",12
akapastorguy,10,Eleven: Football Manager Board Game,11
akapastorguy,11,Mosaic: A Story of Civilization,10
akapastorguy,12,Lost Ruins of Arnak,9
akapastorguy,13,Terraforming Mars,8
akapastorguy,14,Dead Reckoning,7
akapastorguy,15,Legacy of Yu,6
akapastorguy,16,Everdell,5
akapastorguy,17,For What Remains,4
akapastorguy,18,Cartographers: A Roll Player Tale,3
akapastorguy,19,Hadrian's Wall,2
akapastorguy,20,Final Girl,1
akawolf,1,Marvel Champions: The Card Game,20
akawolf,2,Dune: Imperium,19
akawolf,3,Ark Nova,18
akawolf,4,Spirit Island,17
akawolf,5,Tapestry,16
akawolf,6,Wingspan,15
akawolf,7,Marvel United,14
akawolf,8,Terraforming Mars,13
akawolf,9,Lord of the Rings: The Card Game,12
akawolf,10,Paladins of the West Kingdom,11
